,Iris ID,Risk ID,Assessment ID,Ledger,type,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,retail_gfa,Construction Type,Units,number_of_beds,rentable_sqft,Acquired Year,LATITUDE,lat,LONGITUDE,long,Seismic Risk,Flood Risk,Wildfire Risk,Extreme Heat Risk,Executive Summary,Seismic Assessment Title,Seismic Assessment Status,Seismic Assessment Executive Summary,Seismic Recommendation Title,Seismic Recommendation Description,Seismic Recommendation Cost,Seismic Recommendation Further Assessment,Seismic Recommendation Status,Flood Assessment Title,Flood Assessment Status,Flood Assessment Executive Summary,Flood Recommendation Title,Flood Recommendation Description,Flood Recommendation Cost,Flood Recommendation Further Assessment,Flood Recommendation Status,Wildfire Assessment Title,Wildfire Assessment Status,Wildfire Assessment Executive Summary,Wildfire Recommendation Title,Wildfire Recommendation Description,Wildfire Recommendation Cost,Wildfire Recommendation Further Assessment,Wildfire Recommendation Status,Extreme Heat Assessment Title,Extreme Heat Assessment Status,Extreme Heat Assessment Executive Summary,Extreme Heat Recommendation Title,Extreme Heat Recommendation Description,Extreme Heat Recommendation Cost
0,9922467b-d72d-4609-a0a5-9a91b0152f38,b65d189e-d72c-40d7-a2a8-42bac229f6ad,,19038,Residential,929 Mass Apartments,929 Massachusetts Avenue,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,2,1975,12451.0,High-Rise,127,161,73342,2013,38.902889,42.368602,-77.005251,-71.109089,Low,Low-Medium,Catastrophic,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
1,7c8bf782-c03b-4d32-bc87-b00a90ab05c7,0d57ab37-2137-4744-bd81-f4ec24d791d4,,19083,Residential,Rosecliff,790 Willard St,Quincy,MA,Norfolk,2169,Boston,128 South,3,1990,,Garden,156,237,144273,2011,38.906745,42.229554,-77.035116,-71.030012,Low,Very Low,Catastrophic,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
2,8dea0be3-a92f-4197-8d60-898d472bd2aa,f6577970-efa5-4409-8e3e-9564fe1f6ef4,,19096,Residential,Lincoln Heights,175 Centre Street,Quincy,MA,Norfolk,2169,Boston,128 South,17,1991,,Garden,336,456,266568,2011,40.718208,42.23941611,-73.963652,-71.0169982910156,Low,Very Low,Catastrophic,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
3,7fdcac52-1d15-49f6-9a5c-59df427e75da,,,19100,Residential,Emerson Place,One Emerson Place,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1962,36485.0,High-Rise,444,632,406015,2013,40.693809,42.365186,-73.991729,-71.068851,Low,Very Low,Catastrophic,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
4,e1209a6e-c9db-42da-88bb-3369a1efb985,,,19137,Residential,The Towers at Longfellow,72 Staniford Street,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1975,29289.0,High-Rise,710,946,703428,2005,40.778449,42.362846000000005,-73.988156,-71.063872,Low,Very Low,Very Low,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
5,73169db0-6f0d-4266-8991-6c773ac5ac27,,,19145,Residential,Liberty Park,1 Matthew Lane,Braintree,MA,Norfolk,2184,Boston,128 South,30,2000,,Garden,202,330,197832,2013,38.8955,42.194388000000004,-77.0741,-70.979712,Low,Very Low,Catastrophic,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
6,e95c4843-44d2-405d-a428-9f39c90923cb,,,19147,Residential,Gateway at Malden Center,14 Summer Street,Malden,MA,Middlesex,2148,Boston,128 North,2,1988,37209.0,High-Rise,203,319,195015,2010,38.881071,42.42769477,-77.084407,-71.0740908097942,Not Assessed,Very Low,Very Low,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
7,d68e342e-cbfc-45a2-b080-6fce1a0a6210,,,19155,Residential,The West End Apartments,4 Emerson Place,Boston,MA,Suffolk,2114,Boston,City of Boston,5,2008,,High-Rise,310,411,288944,1997,47.6119804660634,42.364683,-122.348266196472,-71.068301,Not Assessed,Very Low,Catastrophic,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
8,82ad22d8-d319-4a34-83b5-49f57d202e8b,,,19231,Residential,Church Corner,10 Magazine Street,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,1,1987,2847.0,Mid-Rise,85,182,81632,2004,40.7074253537472,42.36452836,-74.0119528770447,-71.1050218260682,Low,Low,Catastrophic,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
9,d3d5a07b-fcd1-43e8-b2b1-f5953ae35f91,,,19239,Residential,Heritage at Stone Ridge,2 Littles Brook Court,Burlington,MA,Middlesex,1803,Boston,128 North,5,2005,,Garden,180,292,186514,2013,37.772157,42.48896655,-122.404338,-71.1869430541992,Low,Low,Catastrophic,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
10,9d15451c-e1a7-463b-a905-d7664c37c696,,,19257,Residential,Longview Place,70 Hope Avenue,Waltham,MA,Middlesex,2453,Boston,128 West,3,2004,,High-Rise,348,549,354956,2010,34.150419,42.36913533,-118.147768,-71.2483738363685,Low,Low,Catastrophic,Very Low,EQR Portfolio Risk Assessment - Tier I evaluation of the following direct financial loss risks:\n- Seismic\n- Flood\n- Wildfire\n- Extreme Heat,2022 - Seismic,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Flood,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Wildfire,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0,,,2022 - Extreme Heat,PUBLISHED,,,No risk reduction recommendations provided as part of this assessment,0.0
