,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Wildfire Risk 2022,Wildfire Risk 2050,Flood Risk 2022,Flood Risk 2030,Flood Risk 2050,Seismic Hazard 2022,Wildfire Hazard 2022,Wildfire Hazard 2050,Flood Hazard 2022,Flood Hazard 2030,Flood Hazard 2050
0,d72c1922-c3aa-47bc-99b9-ecf3a986810b,51aa6277-0d46-40f2-a788-b412aa463310,ccfd3632-b794-4d58-ae59-e18885e1e039,486595c6-4b7c-4739-80e5-128cd4666d46,,19038,929 Mass Apartments,929 Massachusetts Avenue,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,2,1975,High-Rise,127,42.368602,-71.109089,-1,PRIMARY_USE_HEALTHCARE,161,18,Very Low,Very Low,Very Low,Low-Medium,Low-Medium,Low-Medium,Very Low,Very Low,Very Low,Low-Medium,Low-Medium,Low-Medium
1,65632ca0-3de0-4b50-b30e-867b72c292c1,116b74a9-03cf-4014-91ca-7b464cc937ba,f6372554-98d9-4423-89da-71561f63d193,444be16c-f46c-46e7-bdf0-58de4b01b519,,19083,Rosecliff,790 Willard St,Quincy,MA,Norfolk,2169,Boston,128 South,3,1990,Garden,156,42.229554,-71.030012,-1,PRIMARY_USE_RESIDENTIAL,237,4,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
2,8aded939-5a06-43e9-802b-29054ca31fac,a6c0e2e8-7e12-441d-a2c4-98644ce8d7bb,7f895abb-b629-4c01-82e4-968e6ed59794,924be64e-b832-472d-b26b-7a51bcb0c44d,,19096,Lincoln Heights,175 Centre Street,Quincy,MA,Norfolk,2169,Boston,128 South,17,1991,Garden,336,42.23941611,-71.01699829,-1,PRIMARY_USE_RESIDENTIAL,456,3,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
3,d875e180-359f-429d-a9be-2d42209fe49f,70eb45e3-0286-4932-884b-b8ef4c62d482,c1ce4e3d-b55f-4bfb-afa4-33d09745bcb7,8d229381-cb68-41e3-b8a8-42825a64c52e,,19137,The Towers at Longfellow,72 Staniford Street,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1975,High-Rise,710,42.362846,-71.063872,-1,PRIMARY_USE_HEALTHCARE,946,39,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
4,691c9a08-a77f-46ea-bd5c-98dd103a1300,d44d5514-f708-4560-9db2-fc7d0c87fac5,4390cda1-16ee-40ca-bdcd-ca3be755a1f4,0612861c-95d6-4707-a465-8d843c656643,,19145,Liberty Park,1 Matthew Lane,Braintree,MA,Norfolk,2184,Boston,128 South,30,2000,Garden,202,42.194388,-70.979712,-1,PRIMARY_USE_RESIDENTIAL,330,3,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
5,e9ac43b5-5440-4eca-bb3c-ea5bbe339a97,ef420944-aaa6-4b89-8caf-c9b295e975b6,59363c5c-992b-4b0d-b0fe-fbe92505b4ab,7aae495b-68e7-43db-8968-9fc903abdc07,,19231,Church Corner,10 Magazine Street,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,1,1987,Mid-Rise,85,42.36452836,-71.10502183,-1,PRIMARY_USE_RESIDENTIAL,182,10,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
6,9b8b1d16-76d3-4a59-a17a-42a667071eee,029dda0e-4814-4eb9-9448-e3afe1b8d416,7f00c3e3-2025-425c-b2d1-009efdefb7b3,189e4a4f-f61b-4b99-a26c-5446a233d086,,19239,Heritage at Stone Ridge,2 Littles Brook Court,Burlington,MA,Middlesex,1803,Boston,128 North,5,2005,Garden,180,42.48896655,-71.18694305,-1,PRIMARY_USE_RESIDENTIAL,292,3,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
7,9aff7a09-3a25-45b3-9008-efa5e305af06,4a7cd3dc-7683-4afa-828a-55f006a51285,1f497a47-35d9-4487-8087-2d5f959427f1,6fb5e287-5647-4918-be90-b827db4fa67c,,19257,Longview Place,70 Hope Avenue,Waltham,MA,Middlesex,2453,Boston,128 West,3,2004,High-Rise,348,42.36913533,-71.24837384,-1,PRIMARY_USE_RESIDENTIAL,549,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
8,6bee3d65-0b49-4037-ab9f-86b61fb84ab8,e4e657c5-00bc-4efa-889b-dbd80514a7f0,0806b365-cc57-4257-88a8-e6562ed7dba4,bb6a122f-e4e2-4d76-8ea2-df04487891ed,,19337,Third Square,285 Third Street,Cambridge,MA,Middlesex,2142,Boston,MA-Cambridge,1,2008,Mid-Rise,292,42.364727,-71.083302,-1,PRIMARY_USE_RESIDENTIAL,418,-1,Not Assessed,Very Low,Very Low,Very Low,Very Low,Very Low,Not Assessed,Very Low,Very Low,Very Low,Very Low,Very Low
9,16cca74c-7ac7-49fb-9faa-2ae3ca3008e3,0ff386b7-9d65-4842-9927-b145be3ff397,cfab2e4d-4c42-46e5-8c3f-1ceaafabadf1,490d2a37-4692-482d-908d-31a2284aceee,,19373,Rosecliff II,790 Willard Street,Quincy,MA,Norfolk,2169,Boston,128 South,2,2005,Garden,130,42.229554,-71.030012,-1,PRIMARY_USE_RESIDENTIAL,200,1,Not Assessed,Very Low,Very Low,Very Low,Very Low,Very Low,Not Assessed,Very Low,Very Low,Very Low,Very Low,Very Low
