,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2050,Wildfire Hazard 2050,Flood Risk 2022,Flood Hazard 2022,Flood Risk 2030,Flood Hazard 2030,Flood Risk 2050,Flood Hazard 2050,Extrem Heat Risk 2022,Extrem Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050
0,84d4deac-c88a-4943-8619-b38e85274231,b9c0b6a8-e37c-4153-b25c-521de098a275,9db43a66-80e5-4d8f-8b55-6609cd971f91,11e90248-7faf-4370-add0-8ac1a777d9cc,,19038,929 Mass Apartments,929 Massachusetts Avenue,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,2,1975,High-Rise,127,42.368602,-71.109089,73342.0,PRIMARY_USE_HEALTHCARE,161,18.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Low,Moderate,Low,Moderate,Low,Moderate,Very Low,Moderately High,Very Low,Moderately High
1,8700ee6e-5a6b-4825-a9e4-166d5fb2cbee,a77910aa-1007-4b62-9b55-75ea1e3a247d,644d73b8-54e8-4e3f-a1c5-6fcd7ee1769f,f494c88f-4504-491b-8ff2-a579131c4121,,19079,Hudson Point,131 Dudley Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,1,2003,High-Rise,182,40.7126881,-74.03992679,181132.0,PRIMARY_USE_RESIDENTIAL,279,6.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Moderate,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
2,e3b64fe0-2f1b-44c4-8f12-6ee005b71b71,44fab77e-d18a-403f-bee7-3b3a6deba729,49a38e1c-54fd-404a-80d3-5af41ebec062,be9e3ab8-16e8-4f85-8e5a-b0c491f97c7a,,19080,The Pier,1 Harborside Place,Jersey City,NJ,Hudson,7311,New York - Manhattan,Hudson Waterfront,1,2003,Mid-Rise,297,40.71932286,-74.03132915,301167.0,PRIMARY_USE_RESIDENTIAL,427,8.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Medium,Very High,Medium,Very High,Medium,Very High,Very Low,Moderately High,Very Low,Moderately High
3,ff23dfcf-3b48-4641-91bf-d680142a897b,e869c694-b5ea-4fb6-98b5-5971b9b736ab,b4550a87-dec6-4aa2-837b-5007d1023a88,5d36183d-7c4b-4265-a95d-f47c0f306bef,,19082,The Landings at Port Imperial,Four Avenue At Port Imperial,West New York,NJ,Hudson County,7093,New York - Manhattan,Hudson Waterfront,4,1999,Garden,276,40.78530325,-74.00206705,267313.0,PRIMARY_USE_RETAIL,440,4.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Moderate,Very Low,High,Very Low,High,Very Low,Moderately High,Very Low,Moderately High
4,e437c1fd-978d-4ee2-9201-f44208d30772,4b0b3580-bce1-48be-adfb-45df8f54a46b,a5bf679b-b192-4da4-9baa-a0e01cee4389,6d58cc98-df1a-4980-a102-b2c4a4ae413a,,19083,Rosecliff,790 Willard St,Quincy,MA,Norfolk,2169,Boston,128 South,3,1990,Garden,156,42.229554,-71.030012,144273.0,PRIMARY_USE_RESIDENTIAL,237,4.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
5,b9198f00-f10f-4d4a-8b88-7b9136df50f2,2d4180be-ab61-4aba-b098-230e36e93757,c25b87ca-afde-49df-9a70-e50a459a918c,d10b9449-8557-4e21-a041-0bbe650647af,,19094,Portside Towers,155 Washington Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,2,1992,High-Rise,527,40.71248319,-74.03827389,563267.0,PRIMARY_USE_SCHOOL,842,25.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Medium,Very High,Medium,Very High,Medium,Very High,Very Low,Moderately High,Very Low,Moderately High
6,48ca81d4-c8e8-43ff-98b0-5627d73e4bb2,5e4817e9-382b-46a4-af95-000bbb6d2d69,7e3ca72d-868d-40cb-ae13-64450499b233,f11102c9-9e30-4c03-8926-e7e8dc95751f,,19096,Lincoln Heights,175 Centre Street,Quincy,MA,Norfolk,2169,Boston,128 South,17,1991,Garden,336,42.23941611,-71.01699829,266568.0,PRIMARY_USE_RESIDENTIAL,456,3.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Low,Moderate,Low,Moderate,Low,Moderate,Very Low,Moderately High,Very Low,Moderately High
7,f302fb48-b2c8-41c3-9a6e-7db24c5a4cdd,475f4005-adf2-43f6-b6a7-ca98f7768b97,6426eea9-c309-443f-91c5-7cb025de764a,db16b8b3-82e7-46bc-a2a2-479dedb55c7f,,19137,The Towers at Longfellow,72 Staniford Street,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1975,High-Rise,710,42.362846,-71.063872,703428.0,PRIMARY_USE_HEALTHCARE,946,39.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
8,e5c9eaec-3b22-46e0-9263-09f2c36a64de,ad042b65-108e-4b3c-9f19-1063903cdd9d,bc9846d4-9014-4784-b956-0efc1adc48f5,d3a27270-b899-4d7a-ae08-6e9eef666eee,,19145,Liberty Park,1 Matthew Lane,Braintree,MA,Norfolk,2184,Boston,128 South,30,2000,Garden,202,42.194388,-70.979712,197832.0,PRIMARY_USE_RESIDENTIAL,330,3.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
9,9c0c324e-4991-434a-944d-5e664e0f33fe,2b655638-aef2-49a4-bba0-0fdb29d563aa,2968c6f7-6140-4fef-b579-62f0dbf4bb67,917f4b3d-93cd-4230-8677-aeebf446a3ba,,19153,Hudson Crossing,400 West 37th Street,New York,NY,New York,10018,New York - Manhattan,Manhattan-Midtown/West,1,2003,High-Rise,259,40.755303,-73.9949,144445.0,PRIMARY_USE_RETAIL,293,14.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
10,7dd1fd12-799d-421c-8199-d07fb8ba9898,a2db8205-4682-43f6-950c-2e949cc32b6a,51a31e83-ff86-4ef7-b51f-c9a9ad54240c,c6d6aa85-f59a-474d-92c5-e0919a6a296c,,19158,71 Broadway,71 Broadway,New York,NY,New York,10006,New York - Manhattan,Manhattan-Financial,1,1897,High-Rise,238,40.70742535,-74.01195288,185905.0,PRIMARY_USE_FOOD_SERVICE,299,23.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
11,d3003821-aa19-4535-b60b-cd7676ec4a93,6f53e51c-5781-4a24-9742-1da5c3d1388b,469a65c6-03df-4835-ba1b-6ca442a0c311,e3709de5-daa5-4a9e-a6db-5e9ae54a5275,,19163,180 Riverside Boulevard,180 Riverside Boulevard,New York,NY,New York,10069,New York - Manhattan,Manhattan-Upper West Side,1,1998,High-Rise,516,40.778449,-73.988156,391226.0,PRIMARY_USE_SCHOOL,594,45.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Medium,Very High,Medium,Very High,Medium,Very High,Very Low,Moderately High,Very Low,Moderately High
12,7f790dde-bb99-4903-872d-142a4ad97a8c,2f95c9ed-d959-45be-affc-e699ef020b2b,b25a82d1-f035-42d0-a020-ab1910548117,c946bfc4-e1b8-4bb2-84bf-3380fb8a6d1e,,19176,The Prime,1415 North Taft Street,Arlington,VA,Arlington,22201,Washington DC,VA-Arlington-RB Corridor,1,2002,High-Rise,281,38.89037595,-77.08140297,265293.0,PRIMARY_USE_RESIDENTIAL,390,15.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
