,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Risk ID 4,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Replacement Cost,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2050,Wildfire Hazard 2050,Flood Risk 2022,Flood Hazard 2022,Flood Driver 2022,Flood Risk 2037,Flood Hazard 2037,Flood Driver 2037,Flood Risk 2052,Flood Hazard 2052,Flood Driver 2052,Extreme Heat Risk 2022,Extreme Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050,Drought Risk 2022,Drought Hazard 2022,Drought Risk 2050,Drought Hazard 2050
0,ade6c011-7033-4580-8476-60a37033431d,4e2d1148-e611-4a24-a10b-99d289e0a211,27422388-fb95-4c31-939e-4197aa5f0720,c304a5b6-2431-4215-90dc-c49f6703efb2,2327def9-dca1-4428-9e2b-c614f204109f,,19038,929 Mass Apartments,929 Massachusetts Avenue,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,2,1975,High-Rise,127,42.368602,-71.109089,73342,77669891.0,PRIMARY_USE_HEALTHCARE,161,18.0,Very Low,Low,Very Low,Low,Very Low,Low,Low,Medium,['fluvial'],Low,Medium,['fluvial'],Low,Medium,['fluvial'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
1,0395a039-eec7-47b5-bd5e-b820d859b63e,32740592-98c4-4922-9364-9725ef95efb5,8e78ecd6-69f2-4690-bcf1-cd5100622158,d8be5ef0-3aae-4aac-8431-418ea64914d2,a177e163-3537-4d36-accb-18aa9b8e9893,,19079,Hudson Point,131 Dudley Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,1,2003,High-Rise,182,40.7126881,-74.039926791666,181132,184559132.0,PRIMARY_USE_RESIDENTIAL,279,6.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Medium,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
2,214638b6-638b-489b-96c3-06a8997e3b6c,b92881af-3579-4227-996e-9216493b45ad,cb2a364d-e032-4aae-a663-99200884291d,d0593d80-abcd-4204-b882-90c1b3e36bdc,d5db9b8a-00a5-4694-afc3-b079f992fcd0,,19080,The Pier,1 Harborside Place,Jersey City,NJ,Hudson,7311,New York - Manhattan,Hudson Waterfront,1,2003,Mid-Rise,297,40.71932286,-74.0313291549683,301167,210651063.0,PRIMARY_USE_RESIDENTIAL,427,8.0,Very Low,Low,Very Low,Low,Very Low,Low,Medium,Very High,['coastal'],Medium,Very High,['coastal'],Medium,Very High,['coastal'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
3,acda6f17-325e-4065-bbbb-3e6162b40184,34879aad-49a3-497c-afd9-a356722c9909,5dd6ea86-a7f4-49f6-9515-61a68d6c8618,c9d3ee49-5213-456c-8ded-855797e33f5e,7b8f2128-6175-451e-b0c5-ca5398f5335f,,19082,The Landings at Port Imperial,Four Avenue At Port Imperial,West New York,NJ,Hudson County,7093,New York - Manhattan,Hudson Waterfront,4,1999,Garden,276,40.78530325,-74.0020670530967,267313,272259646.0,PRIMARY_USE_RETAIL,440,4.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium,['coastal'],Very Low,High,['coastal'],Very Low,High,['coastal'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
4,084ec905-8660-431b-b809-9290eb9cb2c4,27adfd45-9dac-4f48-9969-09e27dc0c977,751482bb-ba9b-473d-b0ad-a61983768963,fb410acd-f878-433e-850c-02c9ca2b1fe0,b3481fcf-2d61-4f0a-befa-443fc85396e6,,19083,Rosecliff,790 Willard St,Quincy,MA,Norfolk,2169,Boston,128 South,3,1990,Garden,156,42.229554,-71.030012,144273,65521969.0,PRIMARY_USE_RESIDENTIAL,237,4.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
5,ce3128b8-bfec-4342-a177-200a9a1835a1,848ff14a-a378-4bc2-a2dc-b231d8c8e9f2,05e08b08-4d24-4ab6-80e7-1cd30cf4603a,24b9e4cc-b2f8-456c-8af6-e6a2344935a2,486f87ea-727b-4cc9-88a2-6a4f7fd3cc39,,19094,Portside Towers,155 Washington Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,2,1992,High-Rise,527,40.71248319,-74.0382738858869,563267,633579296.0,PRIMARY_USE_SCHOOL,842,25.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Medium,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
6,76c9bea6-40a5-4991-b1e1-07df09001efa,6fcf6b6f-484a-4b53-b3b9-9d3e25433ac8,ab928d46-fb10-488b-b853-5cc5c8889f71,5b512c56-febb-4fab-8d37-1a889cbf7e51,72b250ec-2f8b-4078-a6bd-bacb9dc5d12d,,19096,Lincoln Heights,175 Centre Street,Quincy,MA,Norfolk,2169,Boston,128 South,17,1991,Garden,336,42.23941611,-71.0169982910156,266568,123776366.0,PRIMARY_USE_RESIDENTIAL,456,3.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium,['pluvial'],Very Low,Medium,['pluvial'],Very Low,Medium,['pluvial'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
7,f4b9c1d3-7d63-4350-a590-534a3d52a99d,b76e5fa0-d8fb-481a-a17e-61c63684d290,edb5abe3-763f-4d37-9e2b-f4ab13968ee9,813fe76c-15a1-49df-a42c-4fe4fe8432f1,8c91b0f8-4302-4492-ab59-4c8c4d922183,,19137,The Towers at Longfellow,72 Staniford Street,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1975,High-Rise,710,42.362846,-71.063872,703428,704878676.0,PRIMARY_USE_HEALTHCARE,946,39.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['pluvial'],Very Low,Low,['pluvial'],Very Low,Low,['pluvial'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
8,99d96d81-7dd9-4f06-ae4d-dc72a3d5b8a7,10c86265-f9d7-4691-ad78-9577ad24a105,3d4a5e40-b55f-4811-9244-d18234c5bdb1,dddab153-4966-4ccd-a5c7-7f3cc5ad6b44,7c5a501c-0fe5-4312-a238-05f6794fa965,,19145,Liberty Park,1 Matthew Lane,Braintree,MA,Norfolk,2184,Boston,128 South,30,2000,Garden,202,42.194388,-70.979712,197832,89115817.0,PRIMARY_USE_RESIDENTIAL,330,3.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
9,e6cda8ac-13b7-43f0-8d2e-af47873fbf79,be3c277b-4164-4c6d-9138-fb8999630104,4f6f342b-b296-449b-b63e-235d2b7fb496,fd80280a-4a0f-452f-a7f1-713a7b2d2118,bbea5fd7-1609-4321-b883-ec88cd7a22eb,,19153,Hudson Crossing,400 West 37th Street,New York,NY,New York,10018,New York - Manhattan,Manhattan-Midtown/West,1,2003,High-Rise,259,40.755303,-73.9949,144445,190383532.0,PRIMARY_USE_RETAIL,293,14.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
