,group_id,group_name,group_des,group_risk_id
0,7227e849-0a71-4d03-ade0-6258bb3b86db,Boston,Market,
1,84caa8f0-d45a-42e3-b2a1-040d64582c66,New York - Manhattan,Market,
2,a359ef9a-0d4b-4aa8-afbd-cdb46b739b7d,Washington DC,Market,
3,8d4e7161-aee3-42a1-bc8b-16c88e8e016d,Los Angeles,Market,
4,b763b7c9-2d0b-4085-b9f8-9fd916328544,Seattle,Market,
5,19a7c01c-b101-44be-98bf-c7077d694c5d,Denver,Market,
6,4c77c432-f157-4c52-9f82-b150845019ef,San Francisco Bay Area,Market,
7,063702f2-09d6-4798-9067-16c563090540,Atlanta,Market,
8,c410e5ad-4e53-4604-9516-bc90107f3d12,Austin,Market,
9,5a2e5e6b-6fb8-4b42-9c65-9b469e516f97,Dallas/Ft. Worth,Market,
10,aafde49f-25a2-4dea-817a-050422e564c5,San Diego,Market,
11,d48e65e3-571f-4440-89cf-32673f304018,Orange County,Market,
12,7c0d6275-9a20-43ad-8811-11b71a797301,EQR Portfolio,Portfolio,
