,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Risk ID 4,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Replacement Cost,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Seismic Executive Summary 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Executive Summary 2022,Wildfire Risk 2050,Wildfire Hazard 2050,Wildfire Executive Summary 2050,Flood Risk 2022,Flood Hazard 2022,Flood Executive Summary 2022,Flood Risk 2037,Flood Hazard 2037,Flood Executive Summary 2037,Flood Risk 2050,Flood Hazard 2050,Flood Executive Summary 2050,Extreme Heat Risk 2022,Extreme Heat Hazard 2022,Extreme Heat Executive Summary 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050,Extreme Heat Executive Summary 2050,Drought Risk 2022,Drought Hazard 2022,Drought Executive Summary 2022,Drought Risk 2050,Drought Hazard 2050,Drought Executive Summary 2050
0,3c768a7b-9345-4c53-a0aa-dd8c0211c1e2,5913fb4b-1699-406c-bb41-8864625cfd50,1337102b-1b2f-439e-b704-09c8ed2aea0f,8b28d1c6-2772-48bb-bbc5-556526d78d28,,,19038,929 Mass Apartments,929 Massachusetts Avenue,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,2,1975,High-Rise,127,42.368602,-71.109089,73342,77669891.0,PRIMARY_USE_HEALTHCARE,161,18.0,Very Low,Low,The building's vulnerability to seismic hazard was determined based on the following details. Primary Lateral Force Resisting Structure: Unknown; No. Stories: 16; Year of Construction: 1975; Seismic Zone: Zone 2A; Hazus Typology: S1H; Hazus Design Code: Low Code. The consequence of damage to seismic hazard was determined based on the following details - Primary use: healthcare.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not requested; Roof material: Not requested; Defensible area: Not requested; No. stories: 16.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not requested; Roof material: Not requested; Defensible area: Not requested; No. stories: 16.,Low,Medium,The primary flood hazard driver is fluvial. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: parking; Ground Floor Structural Type: steel_frame_with_concrete_shear_walls; Below Grade Usage: storage; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 77669891; No. buildings: 2.,Low,Medium,The primary flood hazard driver is fluvial. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: parking; Ground Floor Structural Type: steel_frame_with_concrete_shear_walls; Below Grade Usage: storage; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 77669891; No. buildings: 2.,Low,Medium,The primary flood hazard driver is fluvial. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: parking; Ground Floor Structural Type: steel_frame_with_concrete_shear_walls; Below Grade Usage: storage; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 77669891; No. buildings: 2.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.
1,fd69c9a9-23fd-49bd-a213-27be252519c3,8fffb6c4-00a8-4905-935b-fd4db0b995e5,f9aad7d5-3cce-4a93-8e82-ec59ea04be4e,2450fd8f-9788-4c7f-8b35-ea50fd105d85,,,19079,Hudson Point,131 Dudley Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,1,2003,High-Rise,182,40.7126881,-74.039926791666,181132,184559132.0,PRIMARY_USE_RESIDENTIAL,279,6.0,Very Low,Low,The building's vulnerability to seismic hazard was determined based on the following details. Primary Lateral Force Resisting Structure: Unknown; No. Stories: 6; Year of Construction: 2003; Seismic Zone: Zone 2A; Hazus Typology: S1M; Hazus Design Code: Low Code. The consequence of damage to seismic hazard was determined based on the following details - Primary use: residential.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Veneer brick; Masonry; Stone; Stucco; Roof material: Not applicable; Defensible area: Not requested; No. stories: 6.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Veneer brick; Masonry; Stone; Stucco; Roof material: Not applicable; Defensible area: Not requested; No. stories: 6.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: steel_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 184559132; No. buildings: 1.,Very Low,Medium,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: steel_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 184559132; No. buildings: 1.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: steel_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 184559132; No. buildings: 1.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.
2,87027e33-fd02-4613-a61a-ee201eeb4627,0db6ead1-5492-4f93-ada5-78092c2040ff,823966e8-43c4-490f-abbb-eb77d61b75a3,b3a2afa5-0466-46f1-a034-32c6d062e2db,,,19080,The Pier,1 Harborside Place,Jersey City,NJ,Hudson,7311,New York - Manhattan,Hudson Waterfront,1,2003,Mid-Rise,297,40.71932286,-74.0313291549683,301167,210651063.0,PRIMARY_USE_RESIDENTIAL,427,8.0,Very Low,Low,The building's vulnerability to seismic hazard was determined based on the following details. Primary Lateral Force Resisting Structure: Unknown; No. Stories: 8; Year of Construction: 2003; Seismic Zone: Zone 2A; Hazus Typology: S1H; Hazus Design Code: Low Code. The consequence of damage to seismic hazard was determined based on the following details - Primary use: residential.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not applicable; Roof material: Not applicable; Defensible area: Not requested; No. stories: 8.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not applicable; Roof material: Not applicable; Defensible area: Not requested; No. stories: 8.,Medium,Very High,The primary flood hazard driver is coastal. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Mid-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: steel_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 210651063; No. buildings: 1.,Medium,Very High,The primary flood hazard driver is coastal. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Mid-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: steel_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 210651063; No. buildings: 1.,Medium,Very High,The primary flood hazard driver is coastal. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Mid-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: steel_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 210651063; No. buildings: 1.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.
3,f866285d-e13b-41cd-b1a5-15db8ce421fc,a22f8463-9ee6-430e-9024-80ef18296ace,f67bb8cf-9ac7-49f1-83e5-a65dc2a15905,6495b8c1-a211-4fb4-ac57-2603b22e92d7,,,19082,The Landings at Port Imperial,Four Avenue At Port Imperial,West New York,NJ,Hudson County,7093,New York - Manhattan,Hudson Waterfront,4,1999,Garden,276,40.78530325,-74.0020670530967,267313,272259646.0,PRIMARY_USE_RETAIL,440,4.0,Very Low,Low,The building's vulnerability to seismic hazard was determined based on the following details. Primary Lateral Force Resisting Structure: Unknown; No. Stories: 4; Year of Construction: 1999; Seismic Zone: Zone 2A; Hazus Typology: S1M; Hazus Design Code: Low Code. The consequence of damage to seismic hazard was determined based on the following details - Primary use: retail.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Veneer brick; Masonry; Stone; Stucco; Roof material: Clay/concrete tiles; Slate; Metal; Asphalt composition shingles (Class A); Defensible area: Not requested; No. stories: 4.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Veneer brick; Masonry; Stone; Stucco; Roof material: Clay/concrete tiles; Slate; Metal; Asphalt composition shingles (Class A); Defensible area: Not requested; No. stories: 4.,Very Low,Medium,The primary flood hazard driver is coastal. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Low-Rise; Ground Floor Usage: parking; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 272259646; No. buildings: 4.,Very Low,High,The primary flood hazard driver is coastal. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Low-Rise; Ground Floor Usage: parking; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 272259646; No. buildings: 4.,Very Low,High,The primary flood hazard driver is coastal. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Low-Rise; Ground Floor Usage: parking; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 272259646; No. buildings: 4.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.
4,0e1c308a-b41b-43d9-8dc0-a2d65146994b,79ce7d7c-971c-472e-9c4f-866d5595d0d4,5dada9f0-6fcf-4ebb-9fab-a224224f0d6e,51551737-7a45-4dac-8875-661195ca6f5e,,,19083,Rosecliff,790 Willard St,Quincy,MA,Norfolk,2169,Boston,128 South,3,1990,Garden,156,42.229554,-71.030012,144273,65521969.0,PRIMARY_USE_RESIDENTIAL,237,4.0,Very Low,Low,The building's vulnerability to seismic hazard was determined based on the following details. Primary Lateral Force Resisting Structure: Unknown; No. Stories: 4; Year of Construction: 1990; Seismic Zone: Zone 2A; Hazus Typology: S1M; Hazus Design Code: Low Code. The consequence of damage to seismic hazard was determined based on the following details - Primary use: residential.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not requested; Roof material: Not requested; Defensible area: Not requested; No. stories: 4.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not requested; Roof material: Not requested; Defensible area: Not requested; No. stories: 4.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Garden; Ground Floor Usage: storage; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 65521969; No. buildings: 3.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Garden; Ground Floor Usage: storage; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 65521969; No. buildings: 3.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Garden; Ground Floor Usage: storage; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 65521969; No. buildings: 3.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.
5,7c337c80-a5b4-4774-884a-7f2ba950d88f,e5a6e276-b04a-429b-91af-1760c4364ef5,1a4be8d2-06a3-40ab-9dcb-744946518bc1,536da298-b7a7-4703-9b14-4a1d90345c52,,,19094,Portside Towers,155 Washington Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,2,1992,High-Rise,527,40.71248319,-74.0382738858869,563267,633579296.0,PRIMARY_USE_SCHOOL,842,25.0,Very Low,Low,The building's vulnerability to seismic hazard was determined based on the following details. Primary Lateral Force Resisting Structure: Unknown; No. Stories: 25; Year of Construction: 1992; Seismic Zone: Zone 2A; Hazus Typology: S1H; Hazus Design Code: Low Code. The consequence of damage to seismic hazard was determined based on the following details - Primary use: school.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Veneer brick; Masonry; Stone; Stucco; Roof material: Not applicable; Defensible area: Not requested; No. stories: 25.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Veneer brick; Masonry; Stone; Stucco; Roof material: Not applicable; Defensible area: Not requested; No. stories: 25.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: concrete_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 633579296; No. buildings: 2.,Very Low,Medium,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: concrete_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 633579296; No. buildings: 2.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: concrete_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 633579296; No. buildings: 2.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.
6,1bf513dc-afa4-497b-b661-7bb6c5a237fd,84b0cb0c-6d84-4c8d-89e7-3c0273536125,e812f5d9-96fb-4110-9d6c-c7b630a644d7,205f1033-b92c-4fac-b1da-4a9268361143,,,19096,Lincoln Heights,175 Centre Street,Quincy,MA,Norfolk,2169,Boston,128 South,17,1991,Garden,336,42.23941611,-71.0169982910156,266568,123776366.0,PRIMARY_USE_RESIDENTIAL,456,3.0,Very Low,Low,The building's vulnerability to seismic hazard was determined based on the following details. Primary Lateral Force Resisting Structure: Unknown; No. Stories: 3; Year of Construction: 1991; Seismic Zone: Zone 2A; Hazus Typology: S1L; Hazus Design Code: Low Code. The consequence of damage to seismic hazard was determined based on the following details - Primary use: residential.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not requested; Roof material: Not requested; Defensible area: Not requested; No. stories: 3.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not requested; Roof material: Not requested; Defensible area: Not requested; No. stories: 3.,Very Low,Medium,The primary flood hazard driver is pluvial. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Garden; Ground Floor Usage: storage; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 123776366; No. buildings: 17.,Very Low,Medium,The primary flood hazard driver is pluvial. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Garden; Ground Floor Usage: storage; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 123776366; No. buildings: 17.,Very Low,Medium,The primary flood hazard driver is pluvial. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Garden; Ground Floor Usage: storage; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 123776366; No. buildings: 17.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.
7,97d8d1d1-620f-4016-82a0-8bbb18295670,0a85334c-5815-4f3a-91f8-a1947acba098,de879d98-e76c-48d2-942c-9b272ad81715,712600c2-b76a-48b5-bcc9-34d75d42d74d,,,19137,The Towers at Longfellow,72 Staniford Street,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1975,High-Rise,710,42.362846,-71.063872,703428,704878676.0,PRIMARY_USE_HEALTHCARE,946,39.0,Very Low,Low,The building's vulnerability to seismic hazard was determined based on the following details. Primary Lateral Force Resisting Structure: Unknown; No. Stories: 38; Year of Construction: 1975; Seismic Zone: Zone 2A; Hazus Typology: S1H; Hazus Design Code: Low Code. The consequence of damage to seismic hazard was determined based on the following details - Primary use: healthcare.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not requested; Roof material: Not requested; Defensible area: Not requested; No. stories: 38.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not requested; Roof material: Not requested; Defensible area: Not requested; No. stories: 38.,Very Low,Low,The primary flood hazard driver is pluvial. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: commercial; Ground Floor Structural Type: steel_frame_with_concrete_shear_walls; Below Grade Usage: residential_common; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 704878676; No. buildings: 2.,Very Low,Low,The primary flood hazard driver is pluvial. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: commercial; Ground Floor Structural Type: steel_frame_with_concrete_shear_walls; Below Grade Usage: residential_common; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 704878676; No. buildings: 2.,Very Low,Low,The primary flood hazard driver is pluvial. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: commercial; Ground Floor Structural Type: steel_frame_with_concrete_shear_walls; Below Grade Usage: residential_common; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 704878676; No. buildings: 2.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.
8,255a40f0-8956-4f36-9a22-344ebdf20a79,1443bcab-066a-4ba4-b51f-d94f94f616e9,9596725c-be15-4c28-a824-9192f9ab4589,661fdc23-c78d-49a4-8ad1-6852e383d2c9,,,19145,Liberty Park,1 Matthew Lane,Braintree,MA,Norfolk,2184,Boston,128 South,30,2000,Garden,202,42.194388,-70.979712,197832,89115817.0,PRIMARY_USE_RESIDENTIAL,330,3.0,Very Low,Low,The building's vulnerability to seismic hazard was determined based on the following details. Primary Lateral Force Resisting Structure: Unknown; No. Stories: 3; Year of Construction: 2000; Seismic Zone: Zone 2A; Hazus Typology: S1L; Hazus Design Code: Low Code. The consequence of damage to seismic hazard was determined based on the following details - Primary use: residential.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not requested; Roof material: Not requested; Defensible area: Not requested; No. stories: 3.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Not requested; Roof material: Not requested; Defensible area: Not requested; No. stories: 3.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Garden; Ground Floor Usage: storage; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 89115817; No. buildings: 30.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Garden; Ground Floor Usage: storage; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 89115817; No. buildings: 30.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: Garden; Ground Floor Usage: storage; Ground Floor Structural Type: light_wood_frame; Below Grade Usage: no_below_grade_spaces; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 89115817; No. buildings: 30.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.
9,6c3d1626-82fd-4cd8-b462-2fe6f996365d,060d991b-a1e5-4e4b-8620-18059a57dff3,92d71d41-dcd1-4cb3-b738-e454b9929e16,884dcb52-27ba-428c-9537-33b965a48cd5,,,19153,Hudson Crossing,400 West 37th Street,New York,NY,New York,10018,New York - Manhattan,Manhattan-Midtown/West,1,2003,High-Rise,259,40.755303,-73.9949,144445,190383532.0,PRIMARY_USE_RETAIL,293,14.0,Very Low,Low,The building's vulnerability to seismic hazard was determined based on the following details. Primary Lateral Force Resisting Structure: Unknown; No. Stories: 13; Year of Construction: 2003; Seismic Zone: Zone 2A; Hazus Typology: S1H; Hazus Design Code: Low Code. The consequence of damage to seismic hazard was determined based on the following details - Primary use: retail.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Veneer brick; Masonry; Stone; Stucco; Roof material: Not applicable; Defensible area: Not requested; No. stories: 13.,Very Low,Low,The building's vulnerability to wildfire hazard was determined based on the following details. Wall material: Veneer brick; Masonry; Stone; Stucco; Roof material: Not applicable; Defensible area: Not requested; No. stories: 13.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: concrete_shear_wall; Below Grade Usage: residential_common; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 190383532; No. buildings: 1.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: concrete_shear_wall; Below Grade Usage: residential_common; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 190383532; No. buildings: 1.,Very Low,Low,The primary flood hazard driver is none. The building's vulnerability to flood hazard was determined based on the following details. Building Type: High-Rise; Ground Floor Usage: storage; Ground Floor Structural Type: concrete_shear_wall; Below Grade Usage: residential_common; . The consequence of damage to flood hazard was determined based on the following details - Replacement cost: 190383532; No. buildings: 1.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Medium-High,Building assets are not vulnerable to direct physical damages due to extreme heat.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.,Very Low,Low,Building assets are not vulnerable to direct physical damages due to drought.
