,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Wildfire Risk 2022,Wildfire Risk 2050,Flood Risk 2022,Flood Risk 2030,Flood Risk 2050
0,96eec234-90a6-4727-89d7-4dd04f47f16f,4cb8102a-af0d-4fae-9f47-231dea86a05e,92a0f60f-411f-44f8-8c31-237b297695e9,06820f5b-d37d-4259-9b7e-ec0cfa18077c,,19038,929 Mass Apartments,929 Massachusetts Avenue,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,2,1975,High-Rise,127,42.368602,-71.109089,-1,PRIMARY_USE_HEALTHCARE,161,18.0,Very Low,Very Low,Very Low,Low-Medium,Low-Medium,Low-Medium
1,70dcaf20-df5c-4e22-a266-33787270c2bf,ea2f776a-be13-4233-8132-a1e1da136d49,f44b51fc-a8ab-4f63-8fd1-91b9e8c18648,3a6e645b-1413-4f15-b634-4620fdeee0d8,,19083,Rosecliff,790 Willard St,Quincy,MA,Norfolk,2169,Boston,128 South,3,1990,Garden,156,42.229554,-71.030012,-1,PRIMARY_USE_RESIDENTIAL,237,4.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
2,6df4506c-28ac-4e69-b602-969e855d9b04,db4e076e-85be-4b40-a382-a085c08be499,6121d74d-1841-4556-8d88-02cb916b57af,76e5ced3-9899-4c70-b7fc-7ad6ea6dfd54,,19096,Lincoln Heights,175 Centre Street,Quincy,MA,Norfolk,2169,Boston,128 South,17,1991,Garden,336,42.23941611,-71.01699829,-1,PRIMARY_USE_RESIDENTIAL,456,3.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
3,e1d9e673-940f-4b93-b3f5-90547d2e76ec,bce8035f-02df-413a-9144-552726372c43,9bf88e2e-cee9-4a3e-95f9-f32200a90dc9,2ff7ee7e-0729-44c1-a822-79c208df2649,,19137,The Towers at Longfellow,72 Staniford Street,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1975,High-Rise,710,42.362846,-71.063872,-1,PRIMARY_USE_HEALTHCARE,946,39.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
4,3bb69a1f-a00c-4ffc-ab3a-3e2e78b913e0,2f8044a0-cf1b-4f76-8fbb-3cecb6fccff2,b088eb62-3dbd-49fe-810b-59c625b021b7,20bd18f4-e874-4cd2-bcc2-e31a20307335,,19145,Liberty Park,1 Matthew Lane,Braintree,MA,Norfolk,2184,Boston,128 South,30,2000,Garden,202,42.194388,-70.979712,-1,PRIMARY_USE_RESIDENTIAL,330,3.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
5,492d04a7-e7a0-42e7-acd1-402755d6a43d,1b363039-781d-4591-bffc-e8517024d69f,ab1b24de-ecc9-4069-94c5-d14210a83b15,98e75f1b-8aed-45e1-bea8-039b6f54ad48,,19231,Church Corner,10 Magazine Street,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,1,1987,Mid-Rise,85,42.36452836,-71.10502183,-1,PRIMARY_USE_RESIDENTIAL,182,10.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
6,d53c7efd-a781-4151-adb0-38a49240a5f2,fca06ddb-e818-471c-b81f-f90b92c9c4b3,cca12a35-a325-48ee-a8fc-d9dbcf690fbf,d4df88bf-740d-4403-8a5c-b1788b7718ed,,19239,Heritage at Stone Ridge,2 Littles Brook Court,Burlington,MA,Middlesex,1803,Boston,128 North,5,2005,Garden,180,42.48896655,-71.18694305,-1,PRIMARY_USE_RESIDENTIAL,292,3.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
7,45bd6783-8952-413f-ab8b-8fc18f83c73c,fde02744-6852-4f59-a5e8-5b3effad8b3c,969cc661-627b-470f-88f0-0795b4310f87,bfb83b4b-4f47-4ee4-8a76-3c3f8d339219,,19257,Longview Place,70 Hope Avenue,Waltham,MA,Middlesex,2453,Boston,128 West,3,2004,High-Rise,348,42.36913533,-71.24837384,-1,PRIMARY_USE_RESIDENTIAL,549,7.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
8,697840d8-e578-4de9-8bb7-9036d5df9d04,effbff55-d2b5-422b-845b-ca249d15927a,7db8ea84-bcf0-45fe-b815-f6997c58aee1,a5ba06e5-ba9e-4c3d-a3fb-a78b140b532b,,19337,Third Square,285 Third Street,Cambridge,MA,Middlesex,2142,Boston,MA-Cambridge,1,2008,Mid-Rise,292,42.364727,-71.083302,-1,PRIMARY_USE_RESIDENTIAL,418,-1.0,Not Assessed,Very Low,Very Low,Very Low,Very Low,Very Low
9,6915d5ee-ac08-450e-9df9-af3567450dc5,ab553182-1a83-41f0-870d-09d2683fda71,580cc628-acad-4e92-923a-aac75b9c396c,02dacf46-b895-433d-9da2-977f71ab9209,,19373,Rosecliff II,790 Willard Street,Quincy,MA,Norfolk,2169,Boston,128 South,2,2005,Garden,130,42.229554,-71.030012,-1,PRIMARY_USE_RESIDENTIAL,200,1.0,Not Assessed,Very Low,Very Low,Very Low,Very Low,Very Low
