,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Risk ID 4,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Replacement Cost,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2052,Wildfire Hazard 2052,Flood Risk 2022,Flood Hazard 2022,Flood Risk 2037,Flood Hazard 2037,Flood Risk 2052,Flood Hazard 2052,Extreme Heat Risk 2022,Extreme Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050
0,1af06355-2bbe-46da-8ba9-b30498706fbd,0b70625e-dc4c-4c8d-b81d-aeb0bc7b14ac,ee714429-e0fa-4f59-9254-37f2603f1e54,f206dad5-0ae9-4da8-b0cb-0660bbeaf0e7,d615f7bf-195c-4f12-9081-7e2fcb726a45,,19038,929 Mass Apartments,929 Massachusetts Avenue,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,2,1975,High-Rise,127,42.368602,-71.109089,73342,77669891.0,PRIMARY_USE_HEALTHCARE,161,18.0,Very Low,Low,Very Low,Medium,,,Low,Medium,Low,Medium,Low,Medium,Very Low,Medium-High,Very Low,Medium-High
1,e29450f4-0381-4104-b860-88f54de406b9,66a1dff2-f539-46a0-bbb8-8e6bf8290008,6b999d3b-2483-4f2e-affb-dbd059822e2d,5b28f690-7400-4909-b2ab-464be6f1eb88,37ff17e2-78c2-4a04-8dee-ac1376028c4d,,19083,Rosecliff,790 Willard St,Quincy,MA,Norfolk,2169,Boston,128 South,3,1990,Garden,156,42.229554,-71.030012,144273,65521969.0,PRIMARY_USE_RESIDENTIAL,237,4.0,Very Low,Low,Very Low,Medium,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
2,0172a575-28b3-4dca-a58c-a378eaf2c04e,f0b0dd93-a821-49fd-802a-e32a4a089ce2,60b014c7-a6c8-4fef-9d2b-1a00992a69e4,629104a3-357a-4328-a5dc-1a8aa21e8454,166068cd-e3d5-4af3-b617-9900fe3b9015,,19096,Lincoln Heights,175 Centre Street,Quincy,MA,Norfolk,2169,Boston,128 South,17,1991,Garden,336,42.23941611,-71.0169982910156,266568,123776366.0,PRIMARY_USE_RESIDENTIAL,456,3.0,Very Low,Low,Very Low,Medium,,,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium-High,Very Low,Medium-High
3,9b317667-1590-4a10-9cca-aa62caa79090,6540d70f-7cbf-46a5-a178-f42e07d421f8,ddd12b3a-3a43-4e93-a60c-cfa6897a2fae,61b6bbac-78fb-4dce-87b2-f53572db76e8,1269e576-148d-4153-b92b-e9da2c7bb7ab,,19137,The Towers at Longfellow,72 Staniford Street,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1975,High-Rise,710,42.362846,-71.063872,703428,704878676.0,PRIMARY_USE_HEALTHCARE,946,39.0,Very Low,Low,Very Low,Medium,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
4,97c83b3e-889e-4e7f-a47f-ec42c8749202,affd2be0-ac44-4a1b-bdcc-b6feab80481f,f887b003-878b-4ae0-9f7f-af45db4a256b,2a5d5c7a-5ab4-4e8b-aeb6-5c6b460be737,dbdca68e-94e8-48bd-97ca-9322bb07cd73,,19145,Liberty Park,1 Matthew Lane,Braintree,MA,Norfolk,2184,Boston,128 South,30,2000,Garden,202,42.194388,-70.979712,197832,89115817.0,PRIMARY_USE_RESIDENTIAL,330,3.0,Very Low,Low,Very Low,Medium,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
5,042a309f-df50-400b-adc9-c135f6c3cb06,94f2b647-7302-4de5-a943-ece4f5a5ba9e,7806955d-425d-40d7-8b72-27bd95817dd1,a09849e9-a404-4a1b-820d-56a6f0a1214d,5200b427-31d8-4098-ab1a-930e8893b935,,19231,Church Corner,10 Magazine Street,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,1,1987,Mid-Rise,85,42.36452836,-71.1050218260682,81632,70873378.0,PRIMARY_USE_RESIDENTIAL,182,10.0,Very Low,Low,Very Low,Medium,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
6,590ab9d4-c676-47f3-9d25-c826d14d45c7,c4b14510-6904-4d11-9fcb-7e114a6446b6,fcd1145e-e6f3-46f2-9964-4f03d1458f0c,44e1b9f7-3777-46f8-827b-a864e2f2bbf6,f752293c-cc66-431f-97c5-8b47a89e558b,,19239,Heritage at Stone Ridge,2 Littles Brook Court,Burlington,MA,Middlesex,1803,Boston,128 North,5,2005,Garden,180,42.48896655,-71.1869430541992,186514,85533396.0,PRIMARY_USE_RESIDENTIAL,292,3.0,Very Low,Low,Very Low,Medium,,,Low,High,Low,High,Low,High,Very Low,Medium-High,Very Low,Medium-High
7,5f492c55-81c7-4f43-9160-40612c8be737,d3d1463e-ee2e-46e7-b000-15fc0f15e8ea,224dfa8f-f7a5-4378-8af5-92c3fcfff1a6,1f498a21-ab2c-4e6c-b9de-4ca31a292096,8792a8db-c8be-41d4-ac4d-314b4ab8f29d,,19257,Longview Place,70 Hope Avenue,Waltham,MA,Middlesex,2453,Boston,128 West,3,2004,High-Rise,348,42.36913533,-71.2483738363685,354956,339990279.0,PRIMARY_USE_RESIDENTIAL,549,7.0,Very Low,Low,Very Low,Medium,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
8,83a92a02-cfeb-441b-8dde-cfeb4a8865b8,e307cf4c-65b9-4591-b160-6f841bf67bda,4c4aa31f-a8d9-408c-a70a-317a3062adaa,8547a6de-e1db-4c2b-9691-781efd080a76,f3ed18d4-844b-4862-a533-81f7d966506b,,19337,Third Square,285 Third Street,Cambridge,MA,Middlesex,2142,Boston,MA-Cambridge,1,2008,Mid-Rise,292,42.364727,-71.083302,262857,229941923.0,PRIMARY_USE_RETAIL,418,10.0,Very Low,Low,Very Low,Medium,,,Very Low,High,Low,Very High,Low-Medium,Very High,Very Low,Medium-High,Very Low,Medium-High
9,5a86d137-5ebc-4aed-9704-dd1286867b3a,587df985-5aaa-4934-90b6-c2ea88fad14e,780a4053-90e9-495d-8f0b-a25a0025fd95,802f1745-f06b-4987-b020-882f93777823,6ebcf6b4-ee6b-4ba7-9bda-1326cded1b3f,,19373,Rosecliff II,790 Willard Street,Quincy,MA,Norfolk,2169,Boston,128 South,2,2005,Garden,130,42.229554,-71.030012,135450,60561193.0,PRIMARY_USE_RESIDENTIAL,200,1.0,Very Low,Low,Very Low,Medium,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
10,beb6cd94-c463-417d-856e-c325e4cbc3da,1d56e60d-0105-4134-aa89-6a51975b011c,c544f39c-9278-42af-9d28-5a91842dcc8d,cf3bbe71-1c90-4de6-8c99-0731a287ff26,de145fb5-b511-403a-a3c1-16e47c533490,,19447,303 Third Street South,303 Third Street,Cambridge,MA,Middlesex,2142,Boston,MA-Cambridge,1,2009,Mid-Rise,179,42.364727,-71.083302,204044,172967977.0,PRIMARY_USE_RESIDENTIAL,292,10.0,Very Low,Low,Very Low,Medium,,,Very Low,High,Low-Medium,Very High,Low-Medium,Very High,Very Low,Medium-High,Very Low,Medium-High
11,3c967447-28f8-462d-8bbc-07bc3f1542a3,12211040-ac22-48bf-926f-04982b852c8e,46baa4f4-b8b9-4c22-8aec-bbff1ce33a82,508ea8eb-21eb-4fe8-a662-69378fef113b,b7ac5c3c-a311-40fe-9afc-01184e09594c,,19531,Alcott Apartments,35 Lomasney Way,Boston,MA,Suffolk,2114,Boston,City of Boston,1,2021,High-Rise,470,42.364901,-71.064716,423849,430983867.0,PRIMARY_USE_RESIDENTIAL,672,50.0,Very Low,Low,Very Low,Medium,,,Very Low,High,Very Low,High,Very Low,High,Very Low,Medium-High,Very Low,Medium-High
12,0ab08e0e-8661-4b18-91da-64bb2e426836,7b9cd70b-c24b-4ee2-89b8-4156a617b8d5,57f5ce49-2497-4830-b4ac-105539797f7d,59330258-f60c-4608-a82d-243b62683cde,9e509d3b-3d4b-41ec-94bd-4f58982fd57e,,24018,Girard,50 Malden St,Boston,MA,Suffolk,2118,Boston,City of Boston,1,2016,High-Rise,160,42.339996,-71.068353,137418,137474329.0,PRIMARY_USE_RETAIL,253,9.0,Very Low,Low,Very Low,Medium,,,Low,High,Low,High,Low,High,Very Low,Medium-High,Very Low,Medium-High
13,fd8ed9d3-3406-4685-8d01-3aa11176dcdf,6c6618f1-5bc1-4b70-9400-d5927c4ef245,f296479a-f5ef-459d-ba3d-85c71ff54e9f,c0c3e676-f2b4-4c34-9413-be9d299bce95,9eabc583-08b0-41c5-a125-a033da2fd929,,24030,Troy Boston,55 Traveler Street,Boston,MA,Suffolk,2118,Boston,City of Boston,2,2015,High-Rise,378,42.343645,-71.062687,238127,258893667.0,PRIMARY_USE_RETAIL,462,21.0,Very Low,Low,Very Low,Medium,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
14,42f81834-09e9-46b0-a7a8-7ed8a4aaa32f,b93e190e-24e2-4117-8623-fc13e03b4552,7ff3148a-7781-4aea-a78a-6689530b245d,698342f5-4b0c-4b88-892d-e4442403455b,875e0212-51fd-48a0-82e8-1eca7bd13c16,,24090,The Reserve at Burlington,20 Corporate Drive,Burlington,MA,Middlesex,1803,Boston,128 North,1,2019,Mid-Rise,270,42.49530456,-71.1911202949609,250444,147290098.0,PRIMARY_USE_RESIDENTIAL,404,7.0,Very Low,Low,Very Low,Medium,,,Very Low,High,Very Low,High,Very Low,High,Very Low,Medium-High,Very Low,Medium-High
15,1b6bca99-8cb3-4821-8895-5dfd0879148d,471b4799-55b7-49e1-a50b-23023e470380,86cdacf7-2f07-4181-9555-90ec7c182d16,0210976f-48e6-46f2-b7b9-a61f018dbd6f,d4e7a5ea-ddce-45c0-99d2-69598c00d2a7,,24305,315 on A,315 A Street,Boston,MA,Suffolk,2210,Boston,City of Boston,1,2013,High-Rise,202,42.349003,-71.049033,157802,164541374.0,PRIMARY_USE_OFFICE,241,20.0,Very Low,Low,Very Low,Medium,,,Low-Medium,Very High,Low-Medium,Very High,Medium,Very High,Very Low,Medium-High,Very Low,Medium-High
16,3e65a704-3ce6-4cd6-80c1-ccf3c722893d,5df94989-77d5-4f13-9ed9-bb4e80701f0f,fb88796a-78dd-4632-b916-bc5dbaad9e88,31da63e1-7375-49dd-b917-d48dd583a3d3,65d9be52-ebee-4cb2-ae56-f3bd6a4073b2,,29458,Walden Park,205 Walden Street,Cambridge,MA,Middlesex,2140,Boston,MA-Cambridge,2,1966,Mid-Rise,232,42.38673331,-71.1293782806485,166774,151417862.0,PRIMARY_USE_RESIDENTIAL,284,7.0,Very Low,Low,Very Low,Medium,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
17,5138584c-d948-4af8-b862-b24125bb1801,42239c82-d5f0-4e13-9284-769a7c46fd84,cdaf1ac5-6bc9-467a-bc85-afe0bb1edb18,52ca0417-eb75-4053-9dba-9093ef9216d6,4af9826d-07d7-4bd6-bfd9-b80356e05ded,,29573,One India Street,1 India St,Boston,MA,Suffolk,2109,Boston,City of Boston,1,1901,Mid-Rise,94,42.359001,-71.054189,77150,79857997.0,PRIMARY_USE_RETAIL,136,12.5,Very Low,Low,Very Low,Medium,,,Low,High,Low-Medium,Very High,Medium,Very High,Very Low,Medium-High,Very Low,Medium-High
18,519b2d5f-c9f8-427d-b757-367fbb4e6d63,2c1694f2-32d7-46be-8b71-009045e38a73,da501d35-21a7-4c1f-a16f-0501007f22d4,185e91b9-6775-43f5-8144-1e83e9d76231,bce44530-5968-42db-a95f-497adfc03af8,,29801,Watertown Square,20 Watertown St.,Watertown,MA,Middlesex,2472,Boston,128 West,1,2005,Mid-Rise,134,42.3643,-71.1874,141163,83462482.0,PRIMARY_USE_RETAIL,185,5.0,Very Low,Low,Very Low,Medium,,,Medium-High,Very High,Medium-High,Very High,Medium-High,Very High,Very Low,Medium-High,Very Low,Medium-High
19,0ebe4141-735f-47df-ac45-dd992c9d4bb0,6c9b17ae-6f09-4aaf-8184-f17167cf33bf,9cb68d79-323b-43d3-abd4-720f764e9607,de5f63a2-48fa-499b-a56c-727c61c004ab,b6086d50-df31-4bb3-96e8-52937d336160,,29802,Cronins Landing,237 Moody Street,Waltham,MA,Middlesex,2453,Boston,128 West,1,1998,High-Rise,281,42.372296,-71.236948,306998,244990828.0,PRIMARY_USE_HEALTHCARE,480,6.0,Very Low,Low,Very Low,Medium,,,Medium,Very High,Medium,Very High,Medium,Very High,Very Low,Medium-High,Very Low,Medium-High
20,fa7736c1-2810-4034-8105-46baa1665ac1,4f5be0f5-224f-4cef-bdef-6e89882c853f,dda42c58-2ed5-4076-b3fe-41f86cdaf3d1,51650a26-bfad-4962-ac7f-efc85689e980,f1692461-1bce-412d-a25e-b4028eba2a30,,29803,660 Washington,660 Washington St.,Boston,MA,Suffolk,2111,Boston,City of Boston,1,2006,High-Rise,420,42.351792,-71.062443,351432,361816989.0,PRIMARY_USE_RETAIL,569,30.0,Very Low,Low,Very Low,Medium,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
21,2d4f4b3e-fba9-4858-a586-e1d0d64b1bae,4bf5e54d-5a7f-43c0-8de1-b15c67e535d8,75a9c333-eead-45ab-8fda-b88d0a90872e,7a799c43-1ff3-4b2e-8d0c-3fc1e9d6744e,a44bc601-fa52-4193-906e-f517a8779bba,,29805,Lofts at Kendall Square,249 Third Street,Cambridge,MA,Middlesex,2142,Boston,MA-Cambridge,3,1898,Mid-Rise,186,42.366835,-71.082164,170460,88447460.0,PRIMARY_USE_RESIDENTIAL,342,5.0,Very Low,Low,Very Low,Medium,,,Low,High,Low-Medium,Very High,Medium,Very High,Very Low,Medium-High,Very Low,Medium-High
22,12d42743-74cb-430b-a3b9-b0b2dc92b3b8,06a97f86-27a0-4c05-bb8d-34658cb33491,c8988bc1-0c8b-4396-845b-999bec0bb260,439d99bd-2749-486b-b228-aaeda616cbda,665265dd-1169-4e49-9e86-be4bc64b4ac6,,29806,Quarry Hills,333 Ricciuti Dr.,Quincy,MA,Norfolk,2169,Boston,128 South,23,2006,Garden,316,42.2419,-71.0485,357076,157931903.0,PRIMARY_USE_RESIDENTIAL,550,4.0,Very Low,Low,Very Low,Medium,,,Very Low,Low,Low,Medium,Low,Medium,Very Low,Medium-High,Very Low,Medium-High
